yearid,Level of Data,Subject,DenominatorType,District,Discode,School,Schcode,Grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2022,sch,rea,Regular,Berlin,51,Berlin Middle School,20045,6,60 - 65,37,38,20,< 10 %,25,75,616
2022,sch,rea,Regular,Berlin,51,Berlin Middle School,20045,7,70 - 75,39,29,29,< 10 %,33,67,620
2022,sch,rea,Regular,Berlin,51,Berlin Middle School,20045,8,90 - 95,48,28,19,< 10 %,24,76,629
2022,sch,sci,Regular,Berlin,51,Berlin Middle School,20045,0,90 - 95,64,17,13,< 10 %,19,81,
2022,sch,sci,Regular,Berlin,51,Berlin Middle School,20045,8,90 - 95,64,17,13,< 10 %,19,81,840
2022,sch,mat,Regular,Berlin,51,Berlin Senior High School,20050,0,65 - 70,33,37,27,< 10 %,30,70,
2022,sch,mat,Regular,Berlin,51,Berlin Senior High School,20050,11,65 - 70,33,37,27,< 10 %,30,70,464
2022,sch,rea,Regular,Berlin,51,Berlin Senior High School,20050,0,65 - 70,24,30,43,< 10 %,46,54,
2022,sch,rea,Regular,Berlin,51,Berlin Senior High School,20050,11,65 - 70,24,30,43,< 10 %,46,54,470
2022,sch,sci,Regular,Berlin,51,Berlin Senior High School,20050,0,55 - 60,53,19,26,< 10 %,28,72,
2022,sch,sci,Regular,Berlin,51,Berlin Senior High School,20050,11,55 - 60,53,19,26,< 10 %,28,72,1146
2022,sch,mat,Regular,Berlin,51,Berlin Elementary School,27035,0,210 - 215,28,23,29,21,49,51,
2022,sch,mat,Regular,Berlin,51,Berlin Elementary School,27035,3,65 - 70,49,27,< 10 %,15,24,76,410
2022,sch,mat,Regular,Berlin,51,Berlin Elementary School,27035,4,70 - 75,16,14,45,25,70,30,465
