yearid,replevel,subject,DenominatorType,disname,discode,schname,schcode,grade,NumberStudents,plevel1,plevel2,plevel3,plevel4,pAboveprof,pBelowProf,AvgScore
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,20 - 25,<10,23,45,27,73,27,2508
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,5,15-Oct,21,<10,21,50,71,29,2559
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,6,30 - 35,<10,10,55,29,84,16,2584
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,7,30 - 35,<10,27,37,37,73,27,2617
2016,sch,rea,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,30 - 35,<10,<10,41,50,>90,<10,2661
2016,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,0,50 - 55,<10,41,57,<10,57,43,NULL
2016,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,4,20 - 25,<10,50,50,<10,50,50,NULL
2016,sch,sci,Regular,Bartlett,35,Josiah Bartlett Elementary School,20325,8,30 - 35,<10,34,63,<10,63,38,NULL
2016,sch,mat,Regular,Bath,39,Bath Village School,20860,0,45 - 50,16,42,31,11,42,58,NULL
2016,sch,mat,Regular,Bath,39,Bath Village School,20860,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2016,sch,mat,Regular,Bath,39,Bath Village School,20860,4,15-Oct,<10,54,38,<10,38,62,2472
2016,sch,mat,Regular,Bath,39,Bath Village School,20860,5,15-Oct,25,42,17,17,33,67,2507
2016,sch,mat,Regular,Bath,39,Bath Village School,20860,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2016,sch,rea,Regular,Bath,39,Bath Village School,20860,0,45 - 50,13,29,49,<10,58,42,NULL
2016,sch,rea,Regular,Bath,39,Bath Village School,20860,3, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2016,sch,rea,Regular,Bath,39,Bath Village School,20860,4,15-Oct,15,23,46,15,62,38,2475
2016,sch,rea,Regular,Bath,39,Bath Village School,20860,5,15-Oct,25,42,33,<10,33,67,2477
2016,sch,rea,Regular,Bath,39,Bath Village School,20860,6, 0 - 10,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11,* n < 11
2016,sch,sci,Regular,Bath,39,Bath Village School,20860,0,15-Oct,23,31,46,<10,46,54,NULL
2016,sch,sci,Regular,Bath,39,Bath Village School,20860,4,15-Oct,23,31,46,<10,46,54,NULL
2016,sch,mat,Regular,Bedford,41,Bedford High School,28555,0,355 - 360,<10,24,46,24,70,30,NULL
2016,sch,mat,Regular,Bedford,41,Bedford High School,28555,11,355 - 360,<10,24,46,24,70,30,574
2016,sch,rea,Regular,Bedford,41,Bedford High School,28555,0,355 - 360,<10,<10,57,33,90,10,NULL
2016,sch,rea,Regular,Bedford,41,Bedford High School,28555,11,355 - 360,<10,<10,57,33,90,10,581
2016,sch,sci,Regular,Bedford,41,Bedford High School,28555,0,360 - 365,<10,29,59,<10,64,36,NULL
2016,sch,sci,Regular,Bedford,41,Bedford High School,28555,11,360 - 365,<10,29,59,<10,64,36,NULL
2016,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,0,710 - 715,<10,16,27,51,77,23,NULL
2016,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,5,340 - 345,<10,16,28,49,77,23,2574
2016,sch,mat,Regular,Bedford,41,McKelvie Intermediate School,21005,6,370 - 375,<10,15,25,52,78,22,2605
2016,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,0,705 - 710,<10,12,40,40,80,20,NULL
2016,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,5,340 - 345,<10,12,37,43,79,21,2564
2016,sch,rea,Regular,Bedford,41,McKelvie Intermediate School,21005,6,365 - 370,<10,13,43,38,81,19,2592
2016,sch,mat,Regular,Bedford,41,Memorial School,20990,0,165 - 170,<10,18,35,45,80,20,NULL
2016,sch,mat,Regular,Bedford,41,Memorial School,20990,3,90 - 95,<10,28,33,34,68,32,2481
2016,sch,mat,Regular,Bedford,41,Memorial School,20990,4,75 - 80,<10,<10,37,57,>90,<10,2563
2016,sch,rea,Regular,Bedford,41,Memorial School,20990,0,165 - 170,<10,14,30,54,84,16,NULL
2016,sch,rea,Regular,Bedford,41,Memorial School,20990,3,90 - 95,<10,20,30,47,77,23,2486
2016,sch,rea,Regular,Bedford,41,Memorial School,20990,4,75 - 80,<10,<10,30,63,>90,<10,2560
2016,sch,sci,Regular,Bedford,41,Memorial School,20990,0,75 - 80,<10,28,64,<10,71,29,NULL
2016,sch,sci,Regular,Bedford,41,Memorial School,20990,4,75 - 80,<10,28,64,<10,71,29,NULL
2016,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,0,250 - 255,<10,14,35,45,81,19,NULL
2016,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,3,125 - 130,<10,<10,44,40,84,16,2485
2016,sch,mat,Regular,Bedford,41,Peter Woodbury School,21000,4,125 - 130,<10,20,27,51,77,23,2542
2016,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,0,250 - 255,<10,14,22,58,81,19,NULL
2016,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,3,125 - 130,<10,16,20,58,78,22,2491
2016,sch,rea,Regular,Bedford,41,Peter Woodbury School,21000,4,125 - 130,<10,12,24,59,83,17,2542
2016,sch,sci,Regular,Bedford,41,Peter Woodbury School,21000,0,125 - 130,<10,19,76,<10,80,20,NULL
2016,sch,sci,Regular,Bedford,41,Peter Woodbury School,21000,4,125 - 130,<10,19,76,<10,80,20,NULL
2016,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,0,235 - 240,<10,<10,40,51,>90,<10,NULL
2016,sch,mat,Regular,Bedford,41,Riddle Brook School,27680,3,120 - 125,<10,10,39,51,90,10,2511
